keyword,search_volume,cpc,keyword_difficulty,cluster_id,cluster_name,is_pivot,opportunity_score
raccord en plomberie,,,,3.0,Accessoires de plomberie,False,0
raccord pompier,,,,,Bruit,False,0
jerrican alimentaire,,,,,Bruit,False,0
supression,,,,,Bruit,False,0
marque de tracteur,,,,2.0,Marques de Tracteurs,False,0
pompe vide piscine,,,,11.0,Pompes vidange piscine,False,0
pompe centrifuge,,,,,Bruit,False,0
pompe pour vider piscine,,,,11.0,Pompes vidange piscine,False,0
station gnv,,,,,Bruit,False,0
pompe arrosage,,,,,Bruit,False,0
graisseur,,,,6.0,Équipements de graissage,True,0
pompe pour un puit,,,,10.0,Pompes pour puits,False,0
cuve récupération eau de pluie,,,,8.0,Systèmes de récupération deau,False,0
cuve a eau 1000,,,,7.0,Cuves Eau Grande Capacité,False,0
pompe gasoil,,,,,Bruit,False,0
cuve pour eau de pluie,,,,8.0,Systèmes de récupération deau,False,0
pompe à graisse,,,,6.0,Équipements de graissage,False,0
pompe de jardin,,,,,Bruit,False,0
pompe pour vider la piscine,,,,11.0,Pompes vidange piscine,False,0
distribagri,,,,,Bruit,False,0
cuve de récupération eau de pluie,,,,8.0,Systèmes de récupération deau,False,0
pompe electrique gasoil,,,,5.0,Pompes Électriques Gasoil,False,0
cuve à eau de pluie,,,,8.0,Systèmes de récupération deau,False,0
cuve pour recuperer eau de pluie,,,,8.0,Systèmes de récupération deau,False,0
pompes de relevage,,,,,Bruit,False,0
pompage electrique,,,,5.0,Pompes Électriques Gasoil,False,0
pompe pour arrosage,,,,,Bruit,False,0
pompe de puits,,,,10.0,Pompes pour puits,False,0
d22,,,,,Bruit,False,0
pompe pour vider une piscine,,,,11.0,Pompes vidange piscine,False,0
pompe de relevage eaux pluviales,,,,,Bruit,False,0
cuve eau 1000l,,,,7.0,Cuves Eau Grande Capacité,False,0
pompe électrique pour eau,,,,,Bruit,False,0
burette à huile,,,,,Bruit,False,0
pompe à gasoil électrique,,,,5.0,Pompes Électriques Gasoil,False,0
pression eau maison,,,,,Bruit,False,0
d 22 renault,,,,0.0,Tracteurs Renault Anciens,False,0
pompe immergee pour puit,,,,10.0,Pompes pour puits,False,0
tracteur marque,,,,2.0,Marques de Tracteurs,False,0
citerne à eau de pluie,,,,8.0,Systèmes de récupération deau,False,0
pompe de relevage eaux chargées,,,,9.0,Pompes et Régulateurs dEaux,False,0
citerne pour eau de pluie,,,,8.0,Systèmes de récupération deau,False,0
reservoir pour eau de pluie,,,,8.0,Systèmes de récupération deau,False,0
recuperer eau de pluie,,,,8.0,Systèmes de récupération deau,False,0
récupération eau de pluie,,,,8.0,Systèmes de récupération deau,False,0
pompe pour vidanger une piscine,,,,11.0,Pompes vidange piscine,False,0
pompe d arrosage,,,,,Bruit,False,0
cuve pour eau,,,,8.0,Systèmes de récupération deau,False,0
manometre eau pression,,,,,Bruit,False,0
cuve à eau 1000l,,,,7.0,Cuves Eau Grande Capacité,False,0
renault d22,,,,0.0,Tracteurs Renault Anciens,True,0
pompe pour vidange huile moteur,,,,,Bruit,False,0
pompe pour eaux chargées,,,,9.0,Pompes et Régulateurs dEaux,False,0
pompe d'arrosage,,,,10.0,Pompes pour puits,False,0
marque tracteur,,,,2.0,Marques de Tracteurs,False,0
essence tva,,,,,Bruit,False,0
pompe serpillère,,,,,Bruit,False,0
pompe à gasoil,,,,,Bruit,False,0
pompage puits,,,,,Bruit,False,0
récupération des eaux de pluie,,,,4.0,Gestion des eaux pluviales,False,0
eau de pluie récupération,,,,8.0,Systèmes de récupération deau,False,0
cuve recuperateur eau de pluie,,,,8.0,Systèmes de récupération deau,False,0
tracteur occasion renault,,,,0.0,Tracteurs Renault Anciens,False,0
moteur pour pompe,,,,,Bruit,False,0
tuyau eau potable,,,,,Bruit,False,0
pompe et moteur,,,,,Bruit,False,0
voyant ad blue,,,,1.0,AdBlue: Prix et Composition,False,0
récupération eau de pluie cuve,,,,8.0,Systèmes de récupération deau,False,0
pompe gasoil electrique,,,,5.0,Pompes Électriques Gasoil,False,0
pompe qui aspire l'eau,,,,,Bruit,False,0
prix du litre adblue à la pompe,,,,,Bruit,False,0
tracteur marques,,,,2.0,Marques de Tracteurs,False,0
pompe a aux,,,,,Bruit,False,0
cuves eau de pluie,,,,8.0,Systèmes de récupération deau,False,0
pompe crepine,,,,,Bruit,False,0
tricoise pompier,,,,,Bruit,False,0
citerne eau,,,,,Bruit,False,0
moteur pompe,,,,,Bruit,False,0
pompe de relevage pour eaux chargées,,,,9.0,Pompes et Régulateurs dEaux,False,0
tracteurs renault,,,,0.0,Tracteurs Renault Anciens,False,0
cuve de récupération des eaux de pluie,,,,4.0,Gestion des eaux pluviales,False,0
cuve eau de pluis,,,,8.0,Systèmes de récupération deau,False,0
disjoncteur magnétothermique,,,,,Bruit,False,0
pressostat pompe,,,,,Bruit,False,0
pompe aspiration eau,,,,8.0,Systèmes de récupération deau,False,0
marque tracteurs,,,,2.0,Marques de Tracteurs,False,0
crepine pour pompe,,,,,Bruit,False,0
consommation adblue,,,,1.0,AdBlue: Prix et Composition,False,0
pompe à huile recette,,,,,Bruit,False,0
pompes immergée pour puit,,,,10.0,Pompes pour puits,False,0
cuve gnr,,,,,Bruit,False,0
immergée,,,,,Bruit,False,0
pompe auto amorçante,,,,,Bruit,False,0
pompe pour adblue,,,,10.0,Pompes pour puits,False,0
pompe huile,,,,,Bruit,False,0
pompe pour le puit,,,,10.0,Pompes pour puits,False,0
recuperation des eaux de pluies,,,,4.0,Gestion des eaux pluviales,False,0
pompage puit,,,,10.0,Pompes pour puits,False,0
burettes,,,,,Bruit,False,0
hmt,,,,,Bruit,False,0
cuve récupération eau de pluie 10000l,,,,8.0,Systèmes de récupération deau,False,0
pressostat pour surpresseur,,,,,Bruit,False,0
pompe electrique pour gasoil,,,,5.0,Pompes Électriques Gasoil,False,0
un broc,,,,,Bruit,False,0
pompe à eaux chargées,,,,9.0,Pompes et Régulateurs dEaux,True,0
pompe de relevage machine à laver,,,,,Bruit,False,0
surpresseur d eau,,,,,Bruit,False,0
crepine pompe,,,,,Bruit,False,0
vide piscine,,,,,Bruit,False,0
pompe a fioul,,,,,Bruit,False,0
regulateur de pression d'eau,,,,9.0,Pompes et Régulateurs dEaux,False,0
recuperation eaux de pluie,,,,4.0,Gestion des eaux pluviales,True,0
tracteurs bleus,,,,2.0,Marques de Tracteurs,False,0
pompe à forage,,,,10.0,Pompes pour puits,False,0
pompe vidange piscine,,,,11.0,Pompes vidange piscine,False,0
cuve 1000l eau,,,,7.0,Cuves Eau Grande Capacité,False,0
tracteurs marques,,,,2.0,Marques de Tracteurs,False,0
pompe de relevage pour machine à laver,,,,,Bruit,False,0
cuve enterrée,,,,8.0,Systèmes de récupération deau,False,0
pompe hydraulique sur prise de force,,,,,Bruit,False,0
tuyau pour eau,,,,,Bruit,False,0
m/f/f,,,,,Bruit,False,0
pompe serpillere,,,,,Bruit,False,0
ad blue composition,,,,1.0,AdBlue: Prix et Composition,False,0
cuve 5000 litres,,,,,Bruit,False,0
recuperateur d eau 500l,,,,,Bruit,False,0
pompe a graisse manuel,,,,6.0,Équipements de graissage,False,0
prix adblue à la pompe,,,,1.0,AdBlue: Prix et Composition,False,0
cuve eau de pluie enterrée,,,,8.0,Systèmes de récupération deau,False,0
citerne à eau,,,,,Bruit,False,0
tuyau à eau,,,,,Bruit,False,0
enrouleur pour tuyau,,,,,Bruit,False,0
récupération d'eau de pluie,,,,4.0,Gestion des eaux pluviales,False,0
pompe à pétrole électrique,,,,,Bruit,False,0
rallonge robinet,,,,,Bruit,False,0
pompe et surpresseur,,,,10.0,Pompes pour puits,False,0
jauge cuve fioul,,,,,Bruit,False,0
cuve eau 1000,,,,7.0,Cuves Eau Grande Capacité,False,0
station service gnr autour de moi,,,,,Bruit,False,0
pompe fioul,,,,,Bruit,False,0
degazage cuve fuel,,,,,Bruit,False,0
prix ad blue,,,,1.0,AdBlue: Prix et Composition,False,0
cuve pour eau de pluie enterrée,,,,8.0,Systèmes de récupération deau,False,0
pompe cuve 1000l,,,,7.0,Cuves Eau Grande Capacité,False,0
cuve à eau de pluie à enterrer,,,,8.0,Systèmes de récupération deau,False,0
cuve à enterrer eau de pluie,,,,8.0,Systèmes de récupération deau,False,0
reglage pressostat,,,,,Bruit,False,0
pompe pour petrole electrique,,,,,Bruit,False,0
adblue urine,,,,,Bruit,False,0
tracteur renault d22,,,,0.0,Tracteurs Renault Anciens,False,0
tracteur super 5 renault,,,,0.0,Tracteurs Renault Anciens,False,0
pompe pour evacuer eau,,,,,Bruit,False,0
tracteur renault super 5,,,,0.0,Tracteurs Renault Anciens,False,0
pressostat eau,,,,,Bruit,False,0
ballon surpresseur,,,,,Bruit,False,0
pompe gasoil 12v,,,,5.0,Pompes Électriques Gasoil,True,0
plus de pression d'eau mais pas de fuite,,,,,Bruit,False,0
pompe avec surpresseur,,,,10.0,Pompes pour puits,False,0
pompe à graisse manuelle,,,,6.0,Équipements de graissage,False,0
voyant adblue combien de km,,,,1.0,AdBlue: Prix et Composition,False,0
pompe de cave,,,,,Bruit,False,0
disjoncteur magnéto-thermique,,,,,Bruit,False,0
dimension cuve 1000l,,,,7.0,Cuves Eau Grande Capacité,False,0
cuve enterrée eau de pluie,,,,8.0,Systèmes de récupération deau,False,0
pression eau maison 4 bars,,,,,Bruit,False,0
entretien pompe de relevage,,,,,Bruit,False,0
tracteur avto,,,,2.0,Marques de Tracteurs,True,0
vidange pompe,,,,,Bruit,False,0
pompes immergées forage,,,,,Bruit,False,0
cuve 3000 litres,,,,7.0,Cuves Eau Grande Capacité,False,0
pompe manuelle essence,,,,6.0,Équipements de graissage,False,0
cuve à eau 10000l,,,,7.0,Cuves Eau Grande Capacité,False,0
cuve à eau 5000l,,,,7.0,Cuves Eau Grande Capacité,False,0
cuve à eau de pluie 5000l,,,,,Bruit,False,0
cuve à eau de pluie 10000l,,,,,Bruit,False,0
